Distribution,Min,P25,Median,P75,Max,Mean,StdDev,IQR,Skewness
Observed,29.18,49.63,53.23,56.58,77.55,52.89222613458529,6.665454587303492,6.949999999999996,-0.26671417652432383
Simulated,37.31666666666667,49.083333333333336,52.06666666666667,55.5,83.9,52.584540623369854,4.925839479959291,6.416666666666664,0.6732543271261079
